store_ratio,basket_ratio,category_1,store_score,category_2,store_presence,score_1,score_2,score_3,score_4,time,popularity
0.3379999999999999,0.0144,11,-26.967,0,0.98,0.967,0.0778,0.105,67.93,265177,4
0.74,0.804,3,-2.187,1,0.411,0.0,0.0578,0.7909999999999999,150.013,198796,4
0.475,0.994,5,-4.978,0,0.000113,0.0127,0.0535,0.0399,125.033,253318,4
0.616,0.292,2,-16.837,0,0.966,0.927,0.0955,0.0633,127.008,125500,1
0.7170000000000001,0.821,11,-5.591,0,0.00307,0.0,0.0987,0.3879999999999999,122.998,144421,4
0.688,0.385,11,-6.877999999999999,1,0.131,4.51e-05,0.0947,0.435,148.012,171248,4
0.42,0.0353,10,-27.468000000000004,1,0.995,0.96,0.0982,0.237,79.226,131750,1
0.384,0.846,7,-5.591,1,0.151,7.730000000000001e-05,0.0913,0.272,90.172,275693,4
0.78,0.265,3,-10.569,1,0.865,0.00103,0.0895,0.186,115.976,258947,4
0.8220000000000001,0.305,0,-18.237,1,0.489,0.8740000000000001,0.104,0.908,80.003,144000,4
0.67,0.677,5,-6.946000000000001,1,0.684,0.0235,0.0858,0.752,115.023,198120,4
0.245,0.0301,5,-27.814,1,0.97,0.952,0.0866,0.0377,65.78399999999999,319493,4
0.7070000000000001,0.299,4,-12.468,0,0.4429999999999999,0.00759,0.0976,0.48,141.269,202693,4
0.546,0.485,2,-9.424,1,0.000128,0.318,0.0939,0.106,109.913,295200,4
0.698,0.114,6,-18.47,1,0.921,0.8909999999999999,0.0983,0.133,69.971,185143,4
0.7070000000000001,0.759,11,-12.328,0,0.0769,2.84e-05,0.0775,0.955,115.142,229107,4
0.502,0.309,5,-12.12,1,0.575,0.0008939999999999,0.0953,0.273,119.236,361013,4
0.685,0.244,0,-13.548,0,0.825,0.898,0.0837,0.389,109.498,115135,3
0.639,0.923,7,-5.707999999999999,1,0.0674,0.0,0.0879,0.7609999999999999,97.874,175347,4
0.55,0.501,4,-8.527000000000001,1,0.624,1.74e-06,0.0962,0.148,130.283,198373,4
0.244,0.2739999999999999,8,-10.433,1,0.871,1.18e-05,0.0897,0.1639999999999999,68.53399999999999,243133,4
0.66,0.159,2,-16.346,0,0.904,0.889,0.0916,0.185,170.03099999999998,115765,4
0.616,0.0227,5,-31.865,1,0.996,0.974,0.091,0.732,68.668,117250,4
0.51,0.427,7,-7.645,1,0.266,0.000328,0.0897,0.286,114.714,227972,3
0.3929999999999999,0.0462,7,-25.187,1,0.996,0.8590000000000001,0.0906,0.485,73.464,166462,4
0.472,0.382,2,-8.356,1,0.7909999999999999,0.000948,0.102,0.313,176.12400000000002,241364,4
0.644,0.687,2,-9.048,1,0.238,0.0,0.0664,0.953,126.399,285760,4
0.308,0.873,8,-4.542,1,0.00022,0.000729,0.0974,0.6859999999999999,143.519,206587,4
0.336,0.0709,7,-25.69,0,0.992,0.858,0.0876,0.176,85.79299999999999,270800,4
0.621,0.345,0,-12.106,1,0.716,0.921,0.091,0.113,117.683,216607,4
0.544,0.903,9,-5.651,1,0.00166,0.00632,0.1,0.432,153.629,204587,4
0.526,0.385,0,-13.755,1,0.456,0.922,0.0935,0.212,120.008,206820,4
0.583,0.73,6,-7.027,0,0.359,0.0397,0.0786,0.444,176.011,238807,4
0.361,0.122,2,-11.416,0,0.983,0.82,0.087,0.2769999999999999,86.292,188026,3
0.6759999999999999,0.46,10,-10.793,0,0.3329999999999999,0.0,0.0787,0.455,86.03200000000001,172025,4
0.7140000000000001,0.8029999999999999,2,-6.095,0,0.103,0.0,0.062,0.8590000000000001,168.04,211620,4
0.502,0.65,1,-4.27,1,0.366,0.0,0.0956,0.392,159.78,153027,4
0.351,0.8029999999999999,7,-7.752999999999999,1,0.0164,0.000641,0.0958,0.33,120.058,364210,4
0.743,0.8370000000000001,1,-5.025,0,0.0172,0.0,0.0743,0.263,103.072,159863,4
0.82,0.452,1,-9.796,1,0.5429999999999999,0.00294,0.0701,0.74,117.401,253250,4
0.49,0.359,9,-8.276,0,0.775,0.961,0.1009999999999999,0.247,111.062,187187,4
0.6609999999999999,0.7120000000000001,3,-9.638,0,0.346,0.000528,0.102,0.1119999999999999,108.038,188354,4
0.447,0.932,7,-4.7,0,0.514,3.14e-05,0.0536,0.846,166.484,223653,4
0.5329999999999999,0.118,5,-26.369,0,0.953,0.923,0.0658,0.0504,107.015,231034,4
0.415,0.942,1,-6.222,1,0.000137,0.237,0.0933,0.376,166.04,246067,4
0.31,0.049,8,-24.833,0,0.995,0.959,0.102,0.2239999999999999,179.639,140000,4
0.823,0.563,6,-5.095,1,0.0399,0.0,0.0851,0.682,98.031,225227,4
0.81,0.7070000000000001,5,-9.949,1,0.0709,0.000263,0.0959,0.741,120.27,270760,4
0.76,0.738,5,-6.726,0,0.148,1.94e-05,0.0983,0.897,100.037,169076,4
0.301,0.0588,7,-18.736,1,0.91,0.00911,0.1009999999999999,0.209,49.021,168750,4
0.715,0.635,7,-6.591,1,0.127,0.0,0.0862,0.39,112.887,198635,4
0.73,0.918,9,-4.052,1,0.0522,0.0112,0.0887,0.705,127.964,254467,4
0.503,0.741,4,-5.127999999999999,1,0.579,1.49e-06,0.0712,0.4579999999999999,88.335,207030,3
0.6759999999999999,0.851,4,-9.179,0,5.6000000000000006e-05,0.933,0.0893,0.556,125.876,217000,4
0.6970000000000001,0.863,0,-5.657,1,0.0793,0.000105,0.0899,0.967,129.627,273027,4
0.476,0.8109999999999999,7,-5.072,0,0.0811,0.0017399999999999,0.102,0.187,147.08,318413,4
0.528,0.487,3,-9.214,0,0.288,0.0135,0.1,0.0466,135.009,218311,4
